author,text,like_count,published_at
@ahmadripa-l7t,"GUA YANG KERJA 14 JAM PERHARI LIBUR SEBULAN SEKALI, DENGAN UPAH 100 RIBU/HARI TERNYATA TERMASUK KEBANGETAN BNGT YA, KALO DI HITUNG TOTAL JAM KERJA DI POTONG 1 BULAN LIBUR SEHARI, NYAMPE 96 JAM PER MINGGU, DAN INI LUMRAH TERJADI DI INDONESIA, MIRIS NYA LEBIH FOKUS BAHAS NEGARA LAIN PADAHAL LEBIH SADIS DI NEGRI SENDIRI,, SUEEE",1,2026-04-04T23:30:24Z
@herususanto1865,Tidak ada linier atau korelasinya antara kerja dengan jumlah jam yg sangat panjang dengan kesejahteraan. Yg benar jam kerja panjang untuk side job yg sersifat non fisik. Sehingga bisa WFA setelah jam WFO. Orang akan lebih merasa tidak tertekan,0,2026-04-04T16:01:26Z
@maulanasyarifhidayat3620,gua gitu bang malah dari jam 6 sampe 9 malam,0,2026-04-04T14:31:12Z
@rizqipermana007,"""KUULIII'nial",0,2026-04-04T10:13:48Z
@S5TANKexe,12:30 iya kalau uang lemburnya sesuai 😅,0,2026-04-04T08:55:25Z
@yuukiakihime454,"sebetulnya selama apapun kerjanya , asal perusahaan ok , lingkungan ok pekerja juga ok , masalahnya kebanyakan gk imbang , antara gaji ataupun lingkungan kerja . btw masih menunggu 19 juta lapangan padelnya",0,2026-04-04T06:47:59Z
@HendraWardana-t9i,"Indonesia lebih keren 887 bahkan 997...China mah kita ketawa ini...Negara Budak..Hidup Indonesia Budak...7 hari full nga ada libur masuk jam 9pagi pulang jam 9malam...gajinya cuman 2,7jt😂😂😂😂Hidup Indonesia...Umum kerja 12 Jam..Cipta Kerja Hidup DPR..pimpinannya siapa sulu😂😂😅mirip Slogannya Warung Madura...kerja terus full tanpa libur kecuali lebaran libur 5 hari/kiamat..atau dirusak Iran mungkin doanya Para bUdak Indonesia...😂😂😂Aamiiiin..biar bisa Liburan..😂😂😂🎉🎉",0,2026-04-04T05:12:59Z
@sitinurulfalahsansuardi2684,Ternyata kerja sama orang cina dan sama orang cina yang buka usaha di negara kita ga beda jauh sama di negara aslinya ya 😂😂 karena pernah ngerasain lelah nya kerja sama mereka dengan aturan yang yaaa gitu deh beserta gajih yang ga sebanding,0,2026-04-04T04:50:58Z
@dzaylandryarky699,"Pantesan asisten2 ceo di short dracin seperti pekerja 24 jam,kpn di hubungi langsung otw

Yg stuju 996 rata2 bos2 doang,jelas aja,mrk g paham beratnya jd karyawan yg bahka kehilangan waktu “makan siang nyantai”",0,2026-04-04T00:59:41Z
@banggrzt,5 tahun terakhir kerja di perusahaan china rata2 licik dengan disnaker TKA dan dianggap harus loyalitas najisss,0,2026-04-03T19:59:19Z
@phazercurator,Already 9 to 5 still get numb,0,2026-04-03T13:17:17Z
@mongbean_6766,Gw gkpp banget kerja lembur2 asal dibayar dengan pantas dan lingkungan kerjanya gak toxic,0,2026-04-03T12:55:09Z
@Wildaaaannnnnnnn,"ternyata se parah"" nya china, indonesia tetep di atas nya soal exploitasi sdm",0,2026-04-03T12:00:18Z
@nellyfarid6558,"klo di tempat ku klo kerjaan tdak selesai bawa pulang kerja di rumah krn lembur pun tetap tidak dibayar, kerja di hari libur jg tidak dibayar.",0,2026-04-03T11:49:02Z
@ibnusahaltikoriyanto3391,Klo 996 gajinya bisa 30 juta - 40 juta gpp dah. Ku gas. 😂😂😂😂,0,2026-04-03T10:25:14Z
@AnisAhmad-g8h,Aku pun kerja di pabrik milik orang China kerja 12 jam x 5hari Sabtu 5jam tapi gaji ga nyampe UMR...,0,2026-04-03T09:48:42Z
@MomoJiwong,"Bwaaanggg saya setiap hari seperti ini bang masuk jam 8 pulang jam 9 malem , satu bulan sebelum puasa malah masuk jam 8 pulang jam 11 malem ( hari Minggu tetap berangkat tapi dari jam 8 sampai jam 5 sore ) libur satu bulan sekali , dan selama puasa malah gak pernah libur , 

Selagi gaji sama jamnya kerjanya di bayar dengan benar gak cuma mau lembur nya aja tapi gaji normal ya , ya gas aja bwaangg selagi badan dan mental kita kuat",0,2026-04-03T09:43:54Z
@dyuft3671,penjaga toko tuh banyak kerja dari jam 9 pagi sampai jam 9 malam gaji maksimal cuman satu setengah juta hhh,0,2026-04-03T06:22:11Z
@BlueSkyMLBB-ce1sh,😢,0,2026-04-03T06:15:56Z
@BlueSkyMLBB-ce1sh,"Di indo juga sama kok,",0,2026-04-03T06:15:47Z
@yusufbachroni5105,Ini emang benar. Saya tahun lalu kerja di perusahaan. Yg memang investor asli dari china. Kerja 12 jam. Mau tanggal merah atau apa tetep gass.,0,2026-04-03T05:17:22Z
@PramestiSagungIstri,884 aja udah cape😭 apalagi 6 hari buset,0,2026-04-03T02:47:17Z
@fresdohariherky4306,Ge kerja 18 jam dulu bang dan gilanya 😂 kek gitu di anggap normal padahal upah lembur cuman 50k apa lagi rumah gw sama tempat kerja nyebrang 2 provinsi pake motor. Setelah 5 bulan gw resign dan ngerasain gila juga itu perusahaan,0,2026-04-03T01:45:15Z
@Bustamamgendut,"Begitulah kerajaan, sering gaslighting rakyat dengan membandingkan jam kerja pekerja dari negara China, Jepang & Korea namun membandingkan hasil kemajuannya dengan negara-negara mundur lainnya.

Lihat saja Eropa barat yang nggak membandingkan usaha & hasil negara lain. Negara Malaysia aja malah menjadi negara Asia Timur sebagai modal kebijakan pemerintahan yang dinamakan sebagai Dasar Pandang Ke Timur yang malah diekploitasi sama para majikan.",0,2026-04-03T00:14:14Z
@prichdutch,Ceo Ke desa malas kerja,0,2026-04-02T22:07:52Z
@AnandaPrayogaKusuma,"Pantes dulu bos cina gw juga gitu, kerja jam 08:00 - 20:30 6 hari seminggu akhirnya gw cuma tahan 2 bulan mana dibawah UMK lagi, untung dapet ganti kerjaan yg lebih manusiawi 9 to 5 dan 5 hari kerja gaji lebih gede lagi 😊",0,2026-04-02T14:29:41Z
@moodboosterchannel3460,Baru tahu dn sudah ngalamin dn skrng efek nya terasa bnget krna pola hidup jdi kacau.. sukses engga setres iya 😢,0,2026-04-02T14:12:49Z
@thepacemaker363,"untung bukan 666,masuk jam 6 pagi,pulang jam 6 sore,dan 6 hari kerja😈",0,2026-04-02T09:51:09Z
@ilhamimazf_,diperbudak industri 🤡,0,2026-04-02T06:57:43Z
@MataluReport,Negara maju nasi juga gitu ya,0,2026-04-02T05:39:22Z
@salinesolutions3033,"anjing efektif apanya orang jadi nolife, bos bos doang yang dapet enaknya",0,2026-04-02T04:17:13Z
@saulgoodboy8,kalo bayaran lembur nya gede mah kenapa tidak,0,2026-04-02T03:56:56Z
@dimaswibowo3612,di MBG 12 jam 6 hari. Luar biasa,0,2026-04-02T03:46:30Z
@alfialkarim3937,yang kaya makin kaya😂,0,2026-04-02T01:03:05Z
@akufu7387,"Saya bgtu di indo, full malam tanpa rolling",0,2026-04-02T00:21:07Z
@dddaa25,"yg ngomong para CEO, ya pasti milih 996 buat karyawan2nya aka budak2nya. perusahaan kalo mau nerapin 996 ya harus gaji 2x lipat lebih lah, wong jumlah jam kerja seminggunya aja udh 2x lipat lebih dari yg seharusnya. ini yg bosnya pd setuju udh pasti jam kerja di perusahaannya red flag 😂😂😂",0,2026-04-02T00:09:23Z
@dwigunarto2091,Jack ma kan sudah jadi bos ya wajar bilang gitu. 😄,0,2026-04-01T23:42:34Z
@AuliasSufi,Di indonesia jg jam kerja kaya gt udh byk bang,0,2026-04-01T23:18:21Z
@GhosttownBigbrother,"Gw kerja di salah satu rumah makan 24 jam di daerah Denpasar Bali 
Kerja 14 jam dengan gaji 2 juta per bulan 
Free uang  makan + rokok",0,2026-04-01T21:55:04Z
@Zephyssss,Nonton sambil berak ngumpul lah sini ngopi,0,2026-04-01T17:20:42Z
@ahmadafrizal40,gw yang lembur sebulan minimal 100 jam dapet. dengan jam kerja minimal 209jam/ bulan normal day😂,0,2026-04-01T14:08:58Z
@Okhariza_Fahriawan,Ya jelas para pemilik perusahaan pro sistem kerja tersebut karena punya kepentingan😂,0,2026-04-01T12:27:41Z
@ufauuch9419,Terlalu kerja keras itu gx baik bikin stress pusing kasihan tubuh harus istirahat gx usah ngikutin negara lain biar lahh Indonesia tersantai aja,0,2026-04-01T12:22:48Z
@MASABSOR,"kalau aku 997😞,udah gaji kecil pula",0,2026-04-01T11:14:14Z
@bambangpramusinto2,Di Indonesia Juga Kebanyakan 996. Banyak Yg Nyari Lembur Dan Cuan Bagi Yang Workaholic Udah Biasa Dan Bukan Hal Yang Aneh. 12 Jam Kerja 1 Hari Libur.,0,2026-04-01T10:16:39Z
@A.M.R.S-001,pdhl kmns,0,2026-04-01T07:51:14Z
@shichibukai85,13:00 gampang ngomong gitu ketika anda sudah diatas belum tentu mereka dulu 996 juga,0,2026-04-01T07:21:19Z
@nixxu3546,"Lembur kadang kali kayak yg Thanos bilang : ""Inevitable"" aka tidak dapat dihindari, cuman yg perlu diperhatikan adalah manajemennya. dan juga kyk yg dibilang di salah satu video ""u ngak mao lakukan, akan ada orang lain yg melakukannya"". 
Kadangkali kita sampe saat ini juga masih belum bisa bedain mana pekerjaaan yang ngak bakalan kelar2 dikerjakan sama mana pekerjaan yang perlu kita kelarkan lebih awal. Alhasil kita mengejar pekerjaan yang tidak kelar2 ini sampe lembur2 ketimbang lembur untuk menyelesaikan pekerjaan yang memang bisa kelarkan lebih awal.
Terakhir peran pemerintah sebenernya udah cukup dengan aturan2 jelas, tapi in the end akan kembali ke perusahaan dan pegawainya, karena transaksi ini adalah inetraksi 2 pihak dengan pemerintah cuman sebagai regulator.

Yg dibilang sama Jack Ma juga bukan tanpa alasan, orang pandai bisa kalah dari orang rajin, karena yg rajin lebih ulet dan kerja keras buat belajar, hanya saja si pekerja keras kalau kelelahan juga kgk bisa apa2. 

Ada batas dan limit masing2 orang, yang bisa menilai yah orang itu sendiri. aturan 8 jam sehari kalo dia masih merasa biasa aja atau kurang perform yah dia berhak mengajukan lebih. tapi kalau dituntut lebih itu lain cerita.",0,2026-04-01T07:06:24Z
@xiaofongchen,"di konoha khususnya bumc, 25/7 malah, mana gajinya ga seberapa",0,2026-04-01T07:04:20Z
@deddyrahmadsurya9072,"kayaknya jakarta aja udah begitu... kerja jam 10 pagi ketemu 10 malam, dan 7 hari seminggu libur 2 hari per bulan, udah mulai banyak...",0,2026-04-01T06:55:28Z
@halalbrooo,"12:23, ya karena mereka yang punya perusahaan, jadi bisa enteng ngomong gitu wkwkwk",0,2026-04-01T06:16:10Z
@halalbrooo,"2:28 ga tau malu? peduli apa gw, langsung balik aja wkwkw",0,2026-04-01T05:56:46Z
@rosijumnasari766,"kalau di praktekin di Indonesia, berkali2 demo terus deh buruhnya. 😂 buruh di kita aja udah UMRnya lumayan gede ( Bekasi, Jabar) masih demo apalagi jam kerjanya begitu. banyak investor yg kabur.",0,2026-04-01T05:44:57Z
@semuaIndah-u3q,Sama disini juga begini pegawai toko jaga dari jam 8 pagi sampai jam 9 malam gaji bawah UMR. 😢,0,2026-04-01T05:04:04Z
@justme_do,Saya setuju 6969,0,2026-04-01T04:26:15Z
@nsofafauzi7676,kalian lembur dibayar?? 💀💀💀,0,2026-04-01T03:59:02Z
@azzamriedwanny3898,G usah jauh2 d cina bang kebanyakan pekerja tambang d negara kt krj 12 jam,0,2026-04-01T03:15:31Z
@kucinghitam6776,"Dulu pernah kerja masuk jam 7 pagi pulang jam 7  malam ,sebulan libur sehari doang, Alhamdulillah tabungan banyak tapi badan hancur rasanya 😢",0,2026-04-01T00:05:13Z
@firmangusti9255,BUMC IS REAL!!,0,2026-03-31T22:51:35Z
@arfahral2829,Sama disini (Morowali) bos cina,0,2026-03-31T22:13:17Z
@umaypratama5357,"13:30 Amerika baru nyemplung, china udah kuyup😂",0,2026-03-31T16:50:17Z
@juanleonardo3342,hidup indonesia 9-10-7 jam 9 kerja jam 10 pulang selama tiap harii gda hari libur kecuali lebaran,0,2026-03-31T16:15:15Z
@yunusmuhamadofficial9247,Di balik kemajuan negara cina ada perbudakan 😂,0,2026-03-31T14:17:34Z
@wagi03.kawagi,"Dulu kerja di jepang prlerusahaan konstruksi full sebulan dari jam 7pagi- 9 malam termasuk hari minggu kerja juga tp pulang jam 5 khusus hari minggu, sampai rumah sekitar jam -+ 10 malam berasa baru mejam bentar udah kerja lagi 😂😂 tapi duit jadi ketabung karna ga ada waktu buat jalan jalan/ belanja",2,2026-03-31T13:23:43Z
@paino5894,Chinanya tuh nyina banget 😍😍😍,0,2026-03-31T12:33:51Z
@evibudiawati2982,Pantesan dracinnya  menggambarkan harapan jadi orkay......... 😮,1,2026-03-31T12:10:17Z
@evinozakir9764,"sebelum diterima kerja harusnya dikasih tau dulu sistem jam kerja nya bagaimana, apa 996 atau normal jadi biar calon pekerja yg memilih mau ngelamar kerja disitu apa gak",0,2026-03-31T11:17:12Z
@thisisit5719,9+9+6=2+4=6=money,0,2026-03-31T10:41:23Z
@kingers450,"SELASA   31 MAR 2026   16:40
MAU 72 JAM MAU 24 JAM TERGANTUNG MASYARAKATNYA RAJIN KERJA APA GA.
KALO MAYORITAN MASYARAKAT PEKERJANYA RAJIN SIH YA GA PAPA LAH.",1,2026-03-31T09:43:05Z
@doddy_alfhayied,Pantesan banyak dracin orkay pen hidup sederhana di desa 🤣 dah muak sama dunia kerja 🤣,0,2026-03-31T09:41:32Z
@SarahWilliams-j2l,Gw kerja di eropa kerja 12 jam selama 5 hari aja udah tepar & sift bergantian pagi & malem,0,2026-03-31T09:38:11Z
@comedynusantara,rill kerja ama cina,0,2026-03-31T09:24:04Z
@BismaYangAgung-p3l,lah bukan nya kemaren  rumor nya jack ma di ilangin ama pemerintah china ya?,0,2026-03-31T09:19:17Z
