Title,Title_URL,Image,Price,Tag,Tag1
Puma Palermo Brown,https://www.kickavenue.com/sneakers/puma/puma-palermo-brown-396463-56-ka/128907?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyODkwNy8xMDJiZDlhNzEyZGI1NzAwN2Q2NTU1NThiOTc1NTA2Yy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Puma,"IDR 1,200,000",
Air Jordan 1 Retro High OG Stealth,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-retro-high-og-stealth-555088-037-ka-2/35368?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzM1MzY4L2ZkNDQxMThkMzMyZjYzOTdkZjIzMmViYmIzYWFjZTc4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Air Jordan,"IDR 1,000,000","IDR 2,805,000"
Adidas Adizero Evo SL White Pure Teal,https://www.kickavenue.com/sneakers/adidas/adidas-adizero-evo-sl-white-pure-teal-js4487-ka/132473?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzMjQ3My9hYzA0ZjllODJkMDgzMjIyZmFmNThlYThlZGQzZjk4NS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Adidas,"IDR 1,740,000","IDR 2,475,000"
Adidas Adizero Evo SL White Black,https://www.kickavenue.com/sneakers/adidas/adidas-adizero-evo-sl-white-black-jh6206-ka/114600?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExNDYwMC81NTEyOGEzYWIwY2FkYjU5MjUxM2Y2ZDE0NjkwYjYyNC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Adidas,"IDR 1,650,000",
New Balance 327 Grey Matter White,https://www.kickavenue.com/sneakers/new-balance/new-balance-327-grey-matter-white-u327wed-ka/57986?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzU3OTg2LzBhZjhmMWY4MDg2ZDBhZjgzYjZiM2Q0NDkyNTRjNjAzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,New Balance,"IDR 1,440,000","IDR 1,650,000"
New Balance 9060 Black Castlerock Grey,https://www.kickavenue.com/sneakers/new-balance/new-balance-9060-black-castlerock-grey-u9060blk-ka-2/38454?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzM4NDU0L2IyNjc3NGIyOWEyZWE5NzRmOGU2YWJjNTU4NGI1YjYwLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,New Balance,"IDR 1,500,000","IDR 2,599,000"
Air Jordan 1 Retro High OG SP Fragment x Union LA White Black,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-high-og-sp-fragment-x-union-la-white-black-ii7282-100-ka/153491?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzQ5MS9jNTEzM2I0YTE0YmVkNmJjM2MwMDhmYmUxNWZlZWZmZi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 16,420,000",
Air Jordan 3 Retro Levi’s Black,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-3-retro-levis-black-ir0914-400-ka/153430?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzQzMC9mOWFjMzIxZjM3ZTRhNzhjNDE1ODU2MTJjN2U1YWVlNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 2,910,000","IDR 3,795,000"
Adidas Samba LT Black White Gum (Women's),https://www.kickavenue.com/sneakers/adidas/adidas-samba-lt-black-white-gum-w-ig2010-ka/112375?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMjM3NS9kNDg2MTk1ODc5OWIxZDNlZDJiMmE4YTcyYjYzNzcyMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Adidas,"IDR 1,410,000",
Air Jordan 1 Mid Linen,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-mid-linen-554724-082-ka-2/27914?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI3OTE0L2NjZDhlMjRlMDMxODI5ZmIyOTA4NTU5ZWJhYzhiNzM2LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Air Jordan,"IDR 1,400,000","IDR 1,897,500"
